2026,學年,,,,,,,,,,,,Date:,2026/03/11,星期三,Sheet,Past day,EPS_003,EPS_004,Sum,Check,
EPS 收支紀錄 (旺角校 - 星期一至星期六),,,,,,,,,,,,,,,,0,,,,0,OK,
,,K,,,,L,,,,HK,,,,Total,Remarks,,,,,1900後,,1900前
2026 - 初,HK$630 ,X,,=,0,X,,=,0,X,,=,0,0,,,,0,0,,,
2026 - 中,HK$630 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2026 - 高,HK$640 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2026 - 高(二),HK$650 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2026 - 深造,HK$660 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2026 - 研究(二),HK$670 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2026 - 研究(三),HK$680 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2025 - 初,HK$610 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2025 - 中,HK$610 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2025 - 高,HK$620 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2025 - 高(二),HK$630 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2025 - 深造,HK$640 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2025 - 研究(二),HK$650 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
2025 - 研究(三),HK$660 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
密集2026 - 初,HK$945 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
密集2026 - 中,HK$945 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
密集2026 - 高,HK$960 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
密集2026 - 高(二),HK$975 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
密集2025 - 初,HK$915 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
密集2025 - 中,HK$915 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
密集2025 - 高,HK$930 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
密集2025 - 高(二),HK$945 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
初、中 - 密集三、五,"HK$1,890 ",X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
高 - 密集三、五,"HK$1,920 ",X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
會話班,HK$870 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,HK$0,,,,HK$0 ,,,,HK$0 ,,,Sub-total:,0,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
書,,,,,,,,,,,,,,,,,,,,,,
新 DIJ (一) 書          ,HK$100,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
新 DIJ (一) 練習帳,HK$30,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
新 DIJ (二) 書,HK$100,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
新 DIJ (二) 練習帳       ,HK$30,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
新 DIJ (三) 書,HK$100,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
掌握N4文法,HK$100,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
基礎篇(尚昂)  ,HK$110,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N3文法(日),HK$110,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
完成篇(尚昂) ,HK$130,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N2文法(日版),HK$130,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N1讀解(世界圖書)(研究二),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N1聽解(世界圖書)(研究二),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N1語彙(世界圖書)(研究二),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N1文法(世界圖書)(研究二),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N3語彙(中),HK$30,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
N2語彙(中),HK$35,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
其他,,,,,,,,,,,,,,,,,,,,,,
淺說 (一) ,HK$40 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
淺說 (二) ,HK$50 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
學生証,HK$50 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
入學試 / 補測 / 補考,HK$50 ,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
補堂,HK$100,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,X,,=,0,X,,=,0,X,,=,0,0,,,,,,,,
,,HK$0 ,,,,HK$0 ,,,,HK$0 ,,,Sub-total:,0,,,,,,,,
,,,,,,,,,,Total:,,,,0,,,,,,,,
